female,BA,AA,black,hispanic,exper,jc,univ,stotal,totcoll,wage
1,0,0,0,1,112,0,0,-0.4875124,0,7.519737
0,0,0,0,0,158,0,0.7555536,1.320112,0.7555536,2.150538
1,0,0,0,0,46,0,0,-0.6934443,0,6.559998
1,0,0,0,1,113,0,0.2,-0.6476817,0.2,8.649995
1,0,0,0,0,122,0,0,-1.242596,0,5.129997
0,0,0,0,0,61,1.366667,0,-0.4875124,1.366667,5.773672
1,0,0,0,0,77,0,0,-0.5103937,0,4
0,0,1,0,0,162,2.6,0,0.3362154,2.6,8.625
0,0,0,1,0,150,0,0,-0.6476817,0,12.28999
1,1,0,0,0,108,0,2.1,2.029434,2.1,16.25
0,0,0,0,1,150,0.6,0,-1.357003,0.6,10.23
1,0,0,0,0,54,0,0,1.045537,0,6.899998
0,0,1,0,0,124,2.466667,0,0,2.466667,12.04999
0,0,0,1,0,148,0,0,-2.409544,0,12.5
1,0,0,0,0,86,0,0,-0.2586991,0,3.072581
1,0,0,0,0,142,0,0,0.1531648,0,5.569999
0,0,0,0,0,155,0,0,-1.929036,0,10.3
0,1,0,0,1,78,0,4.5,-0.0527671,4.5,9.309998
1,1,0,1,0,148,0,5.033333,0,5.033333,10.55
0,0,0,0,0,101,0,0,0,0,7.021983
0,0,0,0,0,151,0.3999995,0,-0.9680202,0.3999995,12.775
0,1,0,0,0,130,1.933333,2.333333,0.7709606,4.266666,25.98153
1,1,0,0,0,118,0,6.4,0.7709606,6.4,9
1,1,0,0,0,141,0,3.188884,1.114181,3.188884,13
0,1,0,0,0,162,0,4.3,1.022655,4.3,12
0,0,0,1,0,132,0,0,-2.501069,0,8.846817
0,1,0,0,0,124,0,4.411104,0.3133341,4.411104,6.959493
0,0,0,0,0,165,0,0.1777775,-0.2358177,0.1777775,16.66667
1,1,0,0,0,117,0,4.7,0.9311299,4.7,12.03811
1,1,0,0,0,113,0.2333333,4,1.137062,4.233333,9.800001
0,0,0,0,0,147,0,0,0.2675714,0,12.5
1,1,0,0,0,107,0,4.1,1.228587,4.1,5
0,1,0,0,0,124,0,4.888884,-0.6248003,4.888884,11.11111
1,0,0,0,0,127,0,0,-0.4417497,0,9.939125
0,0,0,0,0,154,0,0,-0.4188684,0,8.549995
1,1,0,0,0,49,0,4.4,0.793842,4.4,6.199997
1,0,0,0,0,116,0,7.288879,0.6107914,7.288879,6.333333
0,0,0,0,0,148,0,0,-0.1671738,0,12.80242
1,0,0,0,0,135,0,0,0.9082486,0,5.75
1,0,0,0,0,144,0,0,-0.670563,0,7.5
0,0,0,0,0,110,0,0,-2.546832,0,5.259998
1,1,0,0,0,109,0,6.599996,0.4735034,6.599996,9.090909
1,0,0,0,0,142,0,0,-0.8307323,0,7.28
1,0,0,0,0,46,0,3.533333,0.1760461,3.533333,7.919168
0,0,0,0,0,138,0,2.533333,0.8396046,2.533333,3.849998
1,0,0,0,0,101,0,0,0.1074022,0,4
0,0,0,0,0,155,0,0,-0.464631,0,9.309998
0,1,0,0,0,138,0,4.555548,0.9311299,4.555548,9.5
1,0,0,0,0,119,1.711108,0,0.4506221,1.711108,4.5
1,0,0,0,0,155,2.2,0,0.1760461,2.2,6.251975
1,0,0,0,0,151,0,1.266667,1.045537,1.266667,3.799999
0,1,0,0,0,145,0,4.266667,1.434519,4.266667,16.44445
1,0,0,0,0,136,0,0,0.0616395,0,8.666668
0,0,0,0,0,97,0,0,-0.807851,0,11.11111
1,1,0,0,0,146,0,6,0.9997739,6,13
0,0,0,0,0,161,1.3,0.6333333,0.6107914,1.933333,6.004619
1,0,0,0,1,143,0,0,-1.013783,0,11.53568
1,0,0,0,0,164,0,0,0.0387582,0,9.554604
1,0,0,0,0,149,0,0.5111104,-0.2586991,0.5111104,13.83333
0,0,0,0,0,166,0,0,-0.8993762,0,13
1,0,0,0,0,60,0,0,-1.517172,0,3.5
1,1,0,1,0,84,0,4.8,0.5192661,4.8,5.879997
1,1,0,1,0,163,0,4.644438,-1.105308,4.644438,7.319999
0,0,1,0,0,111,0,4.577775,-0.4875124,4.577775,7.777778
0,1,0,0,0,127,0,4.333333,-0.0985298,4.333333,13.416
0,0,0,0,0,157,0,0,-0.2129364,0,7.5
0,0,0,0,0,162,0.1333333,0,0,0.1333333,8.493421
0,0,0,0,0,135,2.33333,0.899999,-0.1442924,3.233329,10.57692
1,1,0,0,0,109,0,4.2,0.6107914,4.2,14.15143
1,0,0,0,0,56,0,5.833333,1.503163,5.833333,8.680755
0,0,0,0,0,153,0,0,-1.036664,0,5.25
0,1,0,0,0,118,0,4.3,0.5421474,4.3,6.5
0,0,0,0,0,161,0,0,0.9082486,0,10.75556
1,0,0,0,0,150,0,0,0.3590968,0,8
0,0,0,1,0,146,0,0,-1.013783,0,9.539992
0,1,0,0,0,109,0,4.2,0.8167233,4.2,8
0,1,0,0,0,101,0.5666667,5.266667,1.640451,5.833333,9.35
0,0,0,0,0,85,0,0,1.205706,0,7.599998
1,0,0,0,0,137,0,0.4,0.1531648,0.4,10.57999
0,1,0,0,0,131,0,2.866663,0.4048594,2.866663,16.88889
0,1,0,0,0,47,2.666667,3.777771,1.022655,6.444438,12.70208
0,0,0,0,0,160,0,0,-1.860392,0,8.458835
1,0,0,1,0,142,0,0,-1.448528,0,6.297297
1,0,0,0,0,159,0,0,0.0158769,0,19
0,0,0,0,0,162,0,0,-0.2815804,0,7.179997
1,0,0,0,0,66,0.9555547,1.366666,0.5879101,2.322221,8.549995
0,1,0,0,0,122,2.566667,2.433333,0.8167233,5,32
1,0,0,0,0,155,0,0,-1.379884,0,5.773672
1,1,0,0,0,114,0,4.233333,0.7023167,4.233333,5.75
0,0,0,0,0,137,0,2.033333,0.7023167,2.033333,9.879998
0,0,0,0,0,152,1.1,0,-1.082427,1.1,13.33333
1,0,0,0,0,161,0,0,0.8624859,0,5.82
1,0,1,0,0,162,2.1,0,0.3590968,2.1,8.222223
1,1,0,0,0,116,0,4.177773,0.656554,4.177773,11
0,0,0,0,0,161,0,0,-0.4875124,0,6.5
1,0,0,0,0,106,0,5.266663,0.9311299,5.266663,18.29333
0,1,0,0,0,142,0,5.055554,0.5879101,5.055554,21.33333
1,0,1,0,0,148,2.6,0,1.4574,2.6,9.833334
0,0,0,0,0,165,0,2.888885,0.6794354,2.888885,6.415191
0,0,0,0,0,161,0,0,-0.3502244,0,4.65
0,0,0,0,0,163,0.4222216,0,-0.327343,0.4222216,15.13513
1,0,0,0,0,67,0,0,-0.7849696,0,5.199997
1,0,0,0,0,87,0,0,0.3133341,0,8.783862
0,0,0,0,0,109,0,5.911108,1.159943,5.911108,18.29787
1,0,0,0,0,9,0.8888875,0,0.4963847,0.8888875,4.0005
1,0,0,0,0,148,0,0,-1.562935,0,3.752887
1,0,0,0,0,82,0,0,-1.723104,0,3.722222
0,0,0,0,0,160,1.333331,5.766665,0.5650287,7.099996,15.6
0,1,0,0,0,128,0,5.366663,1.96079,5.366663,19.94048
0,0,0,0,0,101,0,0,-1.791748,0,24.6482
0,0,0,0,0,83,0,0,-0.8993762,0,9.5
0,1,0,0,0,155,0,4.566667,1.434519,4.566667,20
1,0,0,0,0,151,0,2.8,1.182824,2.8,14
0,0,0,0,0,151,0,0.6111104,0,0.6111104,4.285714
0,0,0,0,0,146,0,0,0,0,12.5
1,1,0,0,0,93,0,7.005554,1.846383,7.005554,8.859268
1,1,0,0,0,123,0,4.333327,-0.0070045,4.333327,9.440001
0,0,0,0,0,158,0,0,0,0,5.675403
1,1,0,1,0,66,1.422221,1.644442,-1.402765,3.066662,10
0,0,0,1,0,131,0,7.5,0.4735034,7.5,15.44134
0,0,0,0,0,148,0,0,0.0616395,0,16.57621
0,1,0,0,0,104,0,4.577771,0.8396046,4.577771,11.90476
1,0,0,0,0,161,0,0,0.656554,0,4.189999
0,1,0,0,0,142,0,4.378882,0.0387582,4.378882,9.187499
1,0,0,0,0,55,0,0,0.4277408,0,5.799999
1,1,0,1,0,146,0,4.1,0.5421474,4.1,4.699997
1,0,0,0,0,90,0,7.5,1.365875,7.5,18
1,1,0,0,0,137,0,5.088883,-0.0527671,5.088883,5.84
0,1,0,0,0,149,0,6.11333,-0.670563,6.11333,1.777778
1,1,0,0,0,83,0,4.7,1.365875,4.7,4.25
0,0,0,0,0,162,0,0,0.2904528,0,16.37
1,0,0,0,0,132,0,1.1,0,1.1,8.227482
1,0,0,0,0,108,1.866667,3.4,0.725198,5.266667,15.14286
1,0,0,0,0,103,0,0.1777775,0,0.1777775,12.5
0,0,0,1,0,64,1.666667,0,-1.768867,1.666667,8.5
1,1,0,0,0,44,0,3.633333,-0.1214111,3.633333,7.249471
0,0,0,0,0,119,0,0,-0.0756485,0,11.72701
1,0,0,0,1,27,0,0,-0.8993762,0,3.840726
1,1,0,0,0,107,0,4.966667,-0.7163256,4.966667,7.930156
0,0,0,1,0,93,0,0,0,0,5.325
0,0,0,0,0,122,0,0,-1.196833,0,20
1,0,0,0,0,160,0,0,0.4048594,0,13.88889
0,1,0,0,0,120,0,4.566667,0.4048594,4.566667,8.316001
1,0,0,0,0,97,0,0,0,0,6.858512
0,0,0,0,0,149,0,0,-0.5561563,0,10.86957
1,0,1,0,1,87,2.9,0,-0.8993762,2.9,6.785282
0,0,0,1,0,155,0,0,-2.478188,0,7.920001
0,0,0,0,0,115,0,7.5,1.61757,7.5,5.714285
0,1,0,0,0,96,0,3.966667,0.725198,3.966667,10
1,0,0,0,0,106,0,0,1.045537,0,6.137883
1,1,0,1,0,51,0,4.966667,-0.1900551,4.966667,14.63134
1,0,0,0,0,165,0,0,-0.8307323,0,8.888889
1,0,0,0,0,105,0,0,0.1531648,0,5.41143
0,0,0,0,0,120,0,7.266667,0,7.266667,15.80949
1,0,0,1,0,86,2.222219,0.4888896,-1.12819,2.711108,5.279446
0,0,0,0,0,157,0,0,-0.8536136,0,11.71
1,0,0,0,0,75,0,5.833333,0.2675714,5.833333,9.05
0,0,0,0,0,135,0,1.9,-0.4188684,1.9,10
0,0,0,0,0,149,0.4333333,0,-0.533275,0.4333333,6.5
1,1,0,1,0,84,0,6.8,-0.2358177,6.8,6.444444
0,1,0,0,0,106,0,4.966667,1.045537,4.966667,10.65
1,0,0,0,0,30,0,0,-1.151071,0,3.449999
1,0,0,0,0,119,0,6.033333,1.228587,6.033333,10.34483
1,0,0,0,0,160,0.2,0,-0.395987,0.2,9.675001
1,1,0,0,0,151,0.1,3.7,0.9768926,3.8,24.13395
0,0,0,0,0,143,0,0,0.0616395,0,14.84
1,0,0,0,0,105,0,5.333333,1.365875,5.333333,9.777778
1,1,0,0,0,137,0,4.04444,0,4.04444,8
0,0,0,0,0,140,0,6.3,1.045537,6.3,14.58333
0,0,0,0,0,152,0,0,-1.883273,0,11.35
1,0,0,0,0,125,0,0,0,0,7
0,1,0,0,0,113,0,4.433333,1.159943,4.433333,7.274827
1,0,1,0,0,18,2.266667,0,-1.151071,2.266667,3.349999
1,0,0,0,0,126,0.4666667,1.633333,1.068418,2.1,15.3629
0,1,0,0,0,134,0,4.399992,0.1531648,4.399992,13.25
0,0,0,0,0,78,0,5.488879,0.9311299,5.488879,20
0,0,0,0,0,162,0,0,0.2218088,0,14.3
1,1,0,0,0,26,2.233333,2.133333,-0.5103937,4.366667,7.368421
0,0,0,0,0,165,0,0.8888875,-1.65446,0.8888875,5.875
0,0,0,0,0,158,0,0.7,-0.8993762,0.7,10.2
0,0,0,0,0,98,0.3111107,0,0,0.3111107,7
0,0,0,0,0,147,0.1,0,-2.112087,0.1,11.54734
1,1,0,0,0,102,0,3.822217,-0.3731057,3.822217,1.847575
1,1,0,0,0,151,0,5.066667,0.6794354,5.066667,18.38567
0,0,0,0,0,164,0,0,-1.494291,0,6.928407
0,1,0,0,0,126,0.2,5.733325,0.6107914,5.933325,7.949997
1,1,0,0,0,132,0,4.033333,0.7480794,4.033333,9.872978
1,1,0,0,0,155,0,5.066657,0,5.066657,8.139999
0,0,0,0,0,159,0,1.133331,0.3362154,1.133331,10.59091
1,0,0,0,0,120,0,1.1,0.0158769,1.1,8.750001
0,0,0,0,0,121,0,0,2.189603,0,4.949481
1,0,0,0,0,53,0,0,1.137062,0,3.805972
1,1,0,1,0,132,0,4.45,-1.105308,4.45,18
1,0,0,0,0,152,0,0,0.0158769,0,11.5
1,0,0,0,0,70,2.166667,5.44444,0.9540113,7.611107,2.844982
1,0,0,0,0,150,3.066667,0,0,3.066667,10.5
0,1,0,0,0,118,0,1.9,0.4735034,1.9,14.54545
0,1,0,0,0,145,0,1.6,0.9540113,1.6,16.25
1,1,0,0,0,120,0,4.566667,-0.2586991,4.566667,9.73722
0,1,0,0,0,110,0,4.833326,0.8624859,4.833326,16
1,0,1,0,0,148,2.766667,0.8333333,-0.3731057,3.6,6.5625
0,0,0,0,0,164,0,0,-2.912933,0,5.849998
1,0,0,0,1,135,0,0,-0.9451389,0,4.8
1,0,0,0,0,157,0,0.3333333,1.068418,0.3333333,10.89999
0,0,0,0,0,69,2.233333,0,-0.0756485,2.233333,7.5
0,0,0,0,0,128,0,0,1.365875,0,10
0,0,1,0,1,150,2,1.976664,0,3.976664,20.5
0,1,0,0,0,92,0,4.266661,1.365875,4.266661,4.5
1,0,0,0,0,72,0,0,-1.860392,0,11.875
1,0,0,0,0,119,0,0,1.594688,0,24
1,0,0,0,0,110,0,0,-0.464631,0,3.349999
1,1,0,0,0,130,0,4.366667,1.388757,4.366667,6.36
0,0,0,0,0,58,0,5.183333,1.686214,5.183333,6.913306
0,0,0,0,0,153,1.533333,1.555552,0.2446901,3.088885,10
1,0,0,0,0,149,0,0,-0.2358177,0,6.888889
0,1,0,0,0,162,1.833333,2.366667,-0.464631,4.2,16
1,1,0,0,0,117,0,5.188883,0.656554,5.188883,7.176
0,0,0,0,0,102,0,4.06666,0.2218088,4.06666,6.759421
0,0,0,0,1,91,0,0,0,0,13.125
0,0,0,0,0,142,0,1.733333,0.4048594,1.733333,8.333334
1,1,0,0,0,123,2.033333,2.666667,0.8396046,4.7,18.95
0,0,0,0,0,157,0,0,0.656554,0,13.21999
1,0,0,0,0,140,1.6,0,-0.464631,1.6,5.270271
0,1,0,1,0,100,0,4.894439,-0.1214111,4.894439,13.75999
1,0,0,0,0,161,0,0,-0.0070045,0,16.07968
1,0,0,0,0,117,0,0,-0.3502244,0,6.004619
0,0,0,0,0,152,0,0,-0.9222575,0,11.5
1,0,0,0,0,104,0.0888887,0,-0.5103937,0.0888887,8
1,0,0,0,0,86,0,0,-0.1900551,0,7.5
1,0,0,0,0,44,0,0,-0.4417497,0,14.65621
1,0,0,0,0,108,0,2.433333,0.0845208,2.433333,13.16667
1,0,0,0,1,166,0.4,0,0,0.4,8.750001
1,0,1,0,0,132,2.044442,0,1.342994,2.044442,16.66667
0,1,0,0,0,126,0,4.733333,-0.1442924,4.733333,12
1,0,0,0,0,124,0,0,-0.3044617,0,8.660508
0,0,0,0,0,162,0,0,-0.9222575,0,8.099998
1,0,0,0,0,104,0,0,-0.327343,0,5.399998
1,1,0,1,0,103,0,4.7,-1.12819,4.7,2.826773
0,0,0,0,0,145,0,4.233333,0.4735034,4.233333,8
1,1,0,0,0,105,0.1111109,4.733331,0.9768926,4.844442,5.357143
1,0,0,1,0,108,0,0,-0.9680202,0,7.5
0,0,0,0,0,111,1.2,0,-0.8536136,1.2,14
0,0,0,1,0,163,1.8,0,-1.540053,1.8,10.64
0,0,0,0,0,85,0,6.1,1.686214,6.1,14.6
1,0,0,1,0,128,0,0,-0.7849696,0,10.39261
1,0,0,1,0,162,0,0,-1.745985,0,9.199998
1,0,0,1,0,154,0,0,-0.8536136,0,9.249999
0,1,0,0,0,137,0,5.283333,1.159943,5.283333,18
0,0,0,0,0,158,0,0.1,0.1531648,0.1,13.41
0,0,1,0,0,158,2.7,0,0.3133341,2.7,8.248103
0,0,0,0,0,138,0,0,-1.265478,0,9.399999
1,0,0,0,0,164,0.1333333,0,-0.327343,0.1333333,7.799999
1,1,0,0,0,73,1.066667,5.65,-0.0527671,6.716667,21.55504
1,1,0,0,0,147,0.2222219,5.066666,1.182824,5.288888,11.25
1,0,0,0,0,156,0.6,0,1.159943,0.6,5.972499
0,0,0,0,0,120,0.5,0,0.4277408,0.5,8.149994
1,1,0,0,0,140,0,4.266667,0,4.266667,8
1,0,0,0,0,91,0,0,0.4277408,0,8.319862
0,1,0,0,0,138,0,6.158333,1.182824,6.158333,15.18503
1,0,0,0,0,162,0,0,-0.1900551,0,9.5
0,0,0,0,0,150,0,0,-1.425647,0,8.166668
0,0,0,0,0,164,0,0,0.0845208,0,15.05774
0,0,0,0,0,156,1.4,0,-1.059546,1.4,12.4134
0,0,0,0,1,147,0,3.2,-0.601919,3.2,13.5
0,0,0,0,0,95,0,0,-0.0298858,0,2.728657
0,0,0,0,0,148,0,0.6333333,-0.0985298,0.6333333,16
0,1,0,0,0,126,1.133333,3.177771,0.7709606,4.311104,8
0,1,0,0,0,148,0,6.922217,0.725198,6.922217,11.8
1,1,0,1,0,49,0,5.266667,0.6107914,5.266667,3.496754
1,0,0,0,0,153,1.833333,0,-0.2586991,1.833333,18.75
0,0,0,0,0,116,0,5.416667,0.2904528,5.416667,11
0,0,0,0,0,146,0,0,0.0616395,0,10
1,0,0,0,0,163,0,0,1.548926,0,9.800001
0,0,0,0,0,139,0,0,-0.7620883,0,11.06129
1,1,0,0,0,124,0,4.011106,0.1302835,4.011106,18
0,0,1,0,0,125,2.3,0,-0.807851,2.3,8.888889
1,0,0,0,0,141,0,0,-0.1442924,0,3.769999
0,1,0,0,0,158,1.8,3.7,1.228587,5.5,12.5
1,1,0,0,0,120,0,4.733333,1.159943,4.733333,11.75
1,1,0,0,0,73,0,4.999992,0.8396046,4.999992,4.28625
1,0,0,0,0,160,0.8666667,0.2,-1.791748,1.066667,8.750001
0,1,0,0,0,63,0,5.233333,0.9997739,5.233333,5.733333
0,1,0,0,0,122,0,4.266667,-0.2358177,4.266667,4.408986
1,1,0,1,0,117,0,4.233333,-1.288359,4.233333,7.111111
1,0,0,0,0,105,1.099999,0,0,1.099999,7.621247
0,0,0,0,0,165,0,0,-2.066324,0,11
1,1,0,0,0,145,0,5.3,-0.0070045,5.3,10.41667
0,1,0,0,0,146,3.816667,1.833333,1.61757,5.65,10.69767
0,1,0,0,0,119,0,4.266661,0.1531648,4.266661,17.5
0,1,0,0,0,163,0,4.7,-0.0298858,4.7,9.777778
0,0,0,0,0,119,0,0,0.7023167,0,9.6
1,0,0,0,1,113,0.2,0,-0.670563,0.2,8.083141
1,0,0,0,0,123,1.1,4.433333,1.731976,5.533333,11
1,0,0,0,0,141,0,0.9333333,0.0616395,0.9333333,5.901977
0,0,0,0,0,106,0.8,3.033333,0.1760461,3.833333,7.5
1,1,0,0,0,104,0,5.5,0,5.5,13.65591
1,0,0,0,0,151,0,0,0.3133341,0,4.5
1,0,0,0,0,161,0,0,-0.0985298,0,5.5
0,0,0,0,0,103,0,0,-0.6934443,0,8.979996
0,0,0,0,0,149,0.0444444,0,-1.608697,0.0444444,12.5
0,0,0,0,0,127,0.1,0,-1.036664,0.1,5.099998
0,1,0,0,0,147,0,4.75555,1.114181,4.75555,15.41667
0,0,0,0,0,127,0,5.566658,1.091299,5.566658,10
1,0,0,0,0,128,0,0,0.3362154,0,12
1,0,0,0,0,66,0,0,0.0158769,0,10.57354
0,0,0,1,0,131,0,0,0,0,13
0,1,0,0,0,66,0,5.044442,-1.219715,5.044442,4
0,0,0,0,0,108,0,0.9333333,0,0.9333333,6.5
0,0,0,1,0,166,0,0,0,0,9.89
0,1,0,0,0,134,0,4.433333,0.6794354,4.433333,10.93999
0,1,0,1,0,118,0,4.933333,-0.0985298,4.933333,14.15373
1,0,0,0,0,93,0,0,-0.533275,0,6
1,0,0,0,0,141,0,0,1.548926,0,7.577564
1,0,0,0,0,96,0,0.1555553,0.9082486,0.1555553,5.5
0,0,1,0,0,134,2.9,0,0.2904528,2.9,13.92903
0,0,0,0,0,136,0.8666667,0,0.9082486,0.8666667,10.01796
1,0,0,0,0,101,0.6666667,0,0.2904528,0.6666667,5.345439
1,0,0,1,0,29,0,0,0.0158769,0,4.25
0,0,0,0,0,162,0,0,-0.0527671,0,6.666667
1,0,0,0,0,157,0,0,0.3133341,0,5.55111
0,0,0,0,0,83,0,0,-1.288359,0,11.75
0,0,0,1,0,106,0,0,-1.242596,0,6.899998
1,0,0,1,0,139,0,0,-1.059546,0,5.132153
0,0,0,0,0,86,0,0,-1.151071,0,7.5
1,0,0,0,0,115,0,0,-0.2358177,0,7.52118
1,1,0,0,0,116,0,4.266667,0.725198,4.266667,17.5
0,1,0,0,0,146,0,4.099996,0.1531648,4.099996,18.4
1,0,0,0,0,110,0,0,-0.0985298,0,6.759998
0,0,0,0,0,144,0,5.911104,0.8853673,5.911104,20
1,0,0,0,0,132,0,0,0.7480794,0,3.431046
0,0,0,0,0,154,0,0,-0.3502244,0,27.14285
1,0,0,0,1,96,0,0,-2.157849,0,3.799999
0,0,0,0,0,105,0,0,-0.670563,0,8.888889
1,0,0,0,0,162,2,0,0,2,12
1,0,0,0,0,134,0,0,-0.1214111,0,8.582739
1,1,0,0,0,81,0,6.566667,0.725198,6.566667,9.142857
1,0,0,0,0,129,0,2.266665,0.793842,2.266665,11.53
1,0,0,0,0,118,0,0,0.8167233,0,11.10844
0,0,0,0,0,155,0,0,0,0,15.24249
0,0,0,0,1,144,1.9,0,0,1.9,17.33334
1,0,0,0,0,150,0,0,-0.9680202,0,5.669999
0,0,0,0,0,153,0,0,-0.1214111,0,14.76
1,1,0,0,0,121,0,5.022214,0.3819781,5.022214,9.619995
0,1,0,0,0,130,0.1,4.1,0,4.2,26.31395
1,1,0,0,0,158,0,4.366667,0.7480794,4.366667,6.800001
1,0,0,0,0,136,0,0,-1.517172,0,7.960374
0,0,0,0,0,157,0,0,-0.4188684,0,15.5
0,1,0,0,0,141,0,2.833333,0.9540113,2.833333,7.75
1,0,0,0,0,166,0,0,0.0158769,0,7.5
0,0,0,0,0,156,0,0,-1.65446,0,18.75
1,1,0,0,0,138,0,5.966667,1.091299,5.966667,14.18999
1,0,0,0,0,78,1.866667,0,0.7480794,1.866667,5.866051
1,1,0,0,0,158,1.666665,2.211108,0.656554,3.877773,17
1,1,0,0,0,106,0,4.999996,1.663332,4.999996,6.84
0,0,0,0,0,162,0,0.2666663,1.320112,0.2666663,9.72973
1,0,0,0,0,27,0,0,-0.7163256,0,4.618937
0,0,0,0,0,145,0,7.5,1.114181,7.5,6.654545
1,0,0,1,0,63,0,0,-1.883273,0,4.0005
1,0,1,0,0,130,2.066667,0,0.2675714,2.066667,5.25
0,0,0,0,0,131,0.2333333,0,-0.7163256,0.2333333,7.519997
1,1,0,0,0,121,2.4,3.15555,0.3362154,5.555551,9.090909
0,1,0,0,0,150,0,4.8,0.7709606,4.8,11.7448
1,1,0,0,0,92,0,5.099996,-0.3502244,5.099996,9.777778
0,0,0,0,0,104,0,6.199996,1.388757,6.199996,14.8
0,1,0,0,0,125,2.166667,5.4,0.9082486,7.566667,8.229248
1,0,0,0,0,122,0.2333333,0,0.725198,0.2333333,12.73095
1,0,0,0,0,155,0,0,0,0,10.69459
1,0,0,0,0,146,0,0,-1.219715,0,8.083141
1,0,0,0,0,86,0,5.3,0.2218088,5.3,6.766173
0,1,0,0,0,118,0,4.233333,1.114181,4.233333,7.400001
0,0,0,0,0,158,0,0,0.1531648,0,9.009996
1,1,0,0,0,131,0,4.322217,0.9082486,4.322217,18.656
1,0,0,0,0,74,0,0,-0.7849696,0,8.359994
1,1,0,0,0,80,0,4.962663,1.503163,4.962663,19.87826
0,0,1,0,0,143,1.366667,1.133331,-0.670563,2.499998,16.36364
1,0,0,0,0,163,0,0,-0.1900551,0,5.059998
1,0,0,0,0,95,0,0,0.5192661,0,2
1,0,0,0,1,128,0,0,-1.288359,0,4
1,0,0,0,0,134,0,0,1.80062,0,14.7
1,0,0,0,0,155,1.288888,0,1.342994,1.288888,10
0,0,0,0,0,136,0,0,-0.0070045,0,13
