year,ahe,bachelor,female,age
1998,4.591346,1,0,25
1998,11.53846,1,0,31
1998,14.66667,1,0,29
1998,19.23077,0,0,25
1998,19.23077,1,1,30
1998,23.07692,1,1,31
1998,28.67133,1,0,34
1998,9.82906,1,1,29
1998,5.545,0,0,34
1998,15.38461,0,0,33
1998,7.5,0,1,30
1998,8.653846,0,0,33
1998,24.41667,1,1,30
1998,10.09615,0,1,30
1998,10.09615,0,0,29
1998,13.46154,0,0,33
1998,11.96581,0,0,31
1998,25.64103,1,0,31
1998,15.30612,1,1,30
1998,9.615385,0,0,26
1998,30.36437,0,0,31
1998,21.97802,0,1,30
1998,10.76923,0,0,31
1998,12.01923,0,0,26
1998,7.739316,0,1,26
1998,5.833333,1,1,30
1998,5.528846,0,0,27
1998,11.53846,0,1,31
1998,14.42308,0,0,32
1998,16.82692,1,0,27
1998,8.173077,0,1,34
1998,23.07692,0,0,31
1998,13.46154,0,1,25
1998,6.730769,0,0,30
1998,12.5,1,0,29
1998,16.82692,1,1,29
1998,13.73626,1,0,25
1998,14.89796,0,0,33
1998,13.94231,1,1,27
1998,15.38461,1,0,26
1998,38.46154,1,0,33
1998,11.05769,0,0,30
1998,11.05769,1,1,28
1998,7.211538,1,1,32
1998,11.05769,0,0,29
1998,9.89011,0,0,31
1998,19.23077,1,1,33
1998,13.46154,1,0,28
1998,10.98901,1,1,33
1998,11.88811,1,0,33
1998,8.974359,1,0,30
1998,14.42308,1,0,27
1998,9.134615,0,0,29
1998,4.945055,0,1,32
1998,15.38461,1,1,28
1998,7.211538,0,0,26
1998,35.57692,1,1,33
1998,33.65385,1,0,30
1998,6.461538,0,0,29
1998,24.03846,1,0,33
1998,36.05769,1,1,32
1998,12.5,1,0,32
1998,13.09524,0,1,33
1998,16.48352,1,0,34
1998,9.166667,0,0,29
1998,16.48352,1,1,30
1998,14.90385,1,1,28
1998,19.23077,0,0,31
1998,9.913462,0,0,28
1998,17.58242,1,1,29
1998,5.528846,1,1,32
1998,20.62937,0,0,33
1998,17.30769,1,0,29
1998,13.46154,1,0,28
1998,33.46154,1,0,34
1998,13.91827,1,1,29
1998,12.98077,0,1,34
1998,6.25,0,0,32
1998,19.23077,1,0,30
1998,8.173077,1,0,34
1998,12.82009,1,0,34
1998,11.53846,1,1,25
1998,18.26923,1,0,30
1998,22.09493,0,0,30
1998,18.88112,0,1,31
1998,13.73626,0,1,27
1998,8.791209,0,0,27
1998,4.807693,0,0,29
1998,3.846154,0,0,25
1998,18.75,1,0,32
1998,41.82692,1,0,27
1998,11.85897,1,0,33
1998,6.923077,1,0,31
1998,18.02885,1,0,32
1998,38.46154,1,1,32
1998,15.38461,1,0,34
1998,13.89423,1,0,26
1998,22.59615,0,0,31
1998,13.46154,1,1,26
1998,9.615385,1,1,33
1998,7.692307,0,0,28
1998,10.68376,0,0,32
1998,13.89423,1,0,31
1998,7,0,0,29
1998,15.38461,0,0,34
1998,19.23077,0,0,31
1998,16.82692,0,0,30
1998,36.36364,0,0,26
1998,16.4,1,1,26
1998,24.03846,1,0,29
1998,17,1,0,31
1998,21.63461,1,0,33
1998,8.241758,0,0,33
1998,7.211538,0,0,33
1998,20.87912,0,1,30
1998,19.46154,1,0,30
1998,19.23077,1,0,31
1998,26.92308,1,0,34
1998,9.5,0,0,29
1998,15.38461,1,0,29
1998,8.653846,0,0,27
1998,24.03846,1,0,32
1998,24.03846,1,0,29
1998,18.07692,0,0,30
1998,18.26923,0,0,32
1998,21.42857,1,1,31
1998,24.79757,1,0,32
1998,49.45055,1,0,28
1998,15.625,1,1,29
1998,7,1,0,34
1998,6.730769,1,1,27
1998,18.69231,0,0,34
1998,26.44231,1,0,32
1998,16.02564,1,0,26
1998,28.84615,1,0,25
1998,8.205129,1,0,27
1998,12.01923,0,1,31
1998,2.884615,0,1,32
1998,9.615385,0,0,26
1998,3.472222,0,0,30
1998,24.03846,1,1,29
1998,20.08547,1,1,31
1998,7.692307,0,1,28
1998,8.25,0,1,30
1998,11.53846,1,0,27
1998,14.42308,1,0,32
1998,18.75,1,0,28
1998,12.01923,1,0,26
1998,14.42308,1,1,32
1998,18.00165,1,0,30
1998,6.25,0,1,28
1998,11.05769,0,0,27
1998,18.26923,1,1,29
1998,37.56709,1,0,32
1998,7.211538,0,0,27
1998,7.414474,0,1,28
1998,13.94231,0,0,27
1998,8.333333,1,1,30
1998,10,1,0,32
1998,11.21795,1,0,27
1998,27.62238,1,1,29
1998,4.807693,0,0,33
1998,12.98077,0,1,32
1998,11.53846,1,1,25
1998,15.38461,0,0,33
1998,12.01923,0,0,27
1998,9.375,0,1,34
1998,23.07692,1,0,29
1998,13.46154,1,0,28
1998,14.95726,1,1,25
1998,10.57692,0,1,34
1998,14.42308,0,1,31
1998,11.05769,1,0,29
1998,22.59615,0,0,31
1998,16.82692,0,0,32
1998,15.73427,1,0,28
1998,2.5,0,0,31
1998,2.5,0,0,27
1998,18.26923,1,0,32
1998,30.28846,1,1,33
1998,14.42308,1,0,25
1998,9.615385,1,1,33
1998,21.15385,1,1,30
1998,19.23077,1,0,30
1998,9.615385,0,0,28
1998,27.69231,1,1,31
1998,7.211538,0,0,30
1998,12.01923,0,0,28
1998,16.63202,1,1,27
1998,18.75,1,1,33
1998,20.90909,1,0,33
1998,10.76923,0,0,33
1998,11.25,0,0,30
1998,12.01923,1,1,26
1998,9.728507,0,0,29
1998,9.340659,0,1,31
1998,6.730769,0,0,28
1998,12.08791,0,1,30
1998,10.625,1,0,33
1998,13.73626,1,0,25
1998,2.403846,1,0,30
1998,7.692307,1,1,30
1998,12.5,0,1,33
1998,13.46154,1,0,31
1998,32.85257,1,0,31
1998,28.84615,1,1,30
1998,12.69231,1,0,31
1998,6.25,0,0,33
1998,15.2,1,0,28
1998,15.96154,1,0,29
1998,7.548077,0,0,27
1998,13.46154,0,0,33
1998,39.56044,1,0,34
1998,16.33333,0,0,32
1998,17.09402,1,0,33
1998,34.61538,1,1,29
1998,17.38166,0,0,34
1998,4.567307,1,0,28
1998,16.82692,0,0,31
1998,12.82051,1,0,30
1998,9,1,1,31
1998,5.75,0,1,34
1998,28.84615,1,0,28
1998,24.03846,1,1,29
1998,8.653846,0,0,28
1998,7.211538,0,1,26
1998,16.48352,1,1,34
1998,16.82692,0,0,33
1998,6.730769,0,1,34
1998,8.205129,1,0,27
1998,19.23077,1,0,27
1998,13.98601,1,0,26
1998,9.615385,1,1,26
1998,34.61538,1,1,28
1998,12.01923,0,0,31
1998,17.78846,0,0,32
1998,15,0,1,28
1998,18.26923,0,1,26
1998,6.009615,0,0,34
1998,11.88811,1,1,30
1998,16.02564,1,1,25
1998,17.58242,0,0,27
1998,18.26923,1,0,26
1998,23.55769,0,1,32
1998,5,0,0,31
1998,8.365385,0,0,30
1998,5,0,0,26
1998,9.985208,0,1,31
1998,8.653846,0,0,27
1998,15,0,0,25
1998,15.53254,1,0,28
1998,23.07692,1,1,31
1998,9.615385,0,1,33
1998,26.37363,0,0,31
1998,19.23077,1,0,31
1998,31.25,1,0,34
1998,15.18219,0,1,33
1998,15.38461,1,0,28
1998,16.02564,0,0,34
1998,15.625,0,1,31
1998,15.9528,0,0,30
1998,7.8,0,0,25
1998,21.63461,1,0,29
1998,25,1,1,33
1998,8.653846,0,0,29
1998,4.615385,0,0,32
1998,15.77909,0,1,27
1998,17.30769,1,1,25
1998,17.6282,1,0,31
1998,10.54545,1,0,32
1998,38.46154,1,0,31
1998,40.86538,1,0,32
1998,11.15385,1,0,33
1998,9.615385,1,0,31
1998,10.48951,1,0,28
1998,14.42308,1,0,30
1998,15.93407,0,0,29
1998,30.21978,0,0,32
1998,6.593407,0,0,25
1998,12.01923,1,0,34
1998,3.846154,0,0,34
1998,6.730769,0,1,28
1998,13.46154,0,0,34
1998,18.5,1,0,33
1998,27.77778,1,0,31
1998,14.0625,0,1,31
1998,14.61539,1,0,31
1998,16.92308,1,1,27
1998,12.01923,0,1,29
1998,16.82692,0,0,25
1998,18.26923,1,0,33
1998,12.01923,1,1,26
1998,12.01923,1,1,25
1998,7.357692,0,0,28
1998,17.28077,0,0,29
1998,31.18503,1,1,34
1998,18.07692,1,0,28
1998,10,0,0,28
1998,19.23077,0,1,31
1998,14.42308,0,0,30
1998,10.25641,0,0,25
1998,10.09615,0,0,26
1998,11.36364,0,0,33
1998,7.692307,0,1,32
1998,6.111111,0,1,32
1998,6.25,0,1,26
1998,14.42308,0,0,30
1998,26.92308,1,0,30
1998,5.048077,0,1,33
1998,14.42308,1,1,31
1998,7.884615,0,0,26
1998,12.27106,1,1,31
1998,22.35577,1,1,25
1998,25,1,1,29
1998,5.769231,0,1,28
1998,15.86539,0,0,33
1998,14.52991,1,1,34
1998,23.07692,0,0,29
1998,9,0,0,28
1998,11.53846,1,1,34
1998,5.036539,1,1,27
1998,8.01282,1,0,32
1998,10.57692,0,0,28
1998,12.98077,1,0,34
1998,20.67308,1,0,30
1998,7.051282,0,0,25
1998,13.46154,0,0,34
1998,22.59615,0,0,29
1998,5.769231,0,1,32
1998,10.09615,0,0,34
1998,25,1,1,34
1998,14.27885,0,0,34
1998,31.06509,1,0,32
1998,11.05769,0,1,29
1998,24.03846,0,0,33
1998,17.14744,1,0,32
1998,12.98077,1,0,27
1998,9.134615,1,1,28
1998,12.5,0,0,29
1998,25.48077,0,0,33
1998,9.294871,0,1,27
1998,19.23077,1,0,33
1998,13.37356,0,0,33
1998,19.65812,1,0,28
1998,15.57692,0,0,25
1998,14.42308,0,0,33
1998,10.90865,0,1,26
1998,12.44231,0,0,32
1998,12.01923,1,0,25
1998,8.01282,1,0,29
1998,16.10577,0,0,34
1998,12.82051,0,0,33
1998,9.230769,0,1,31
1998,13.94231,1,1,27
1998,8.461538,0,1,34
1998,20.19231,1,1,28
1998,13.46154,0,0,26
1998,6.2125,0,0,26
1998,16.34615,0,0,29
1998,22.11539,1,0,27
1998,18.07692,1,0,31
1998,31.25,1,1,27
1998,15.38461,1,1,34
1998,17.5,1,0,31
1998,25,0,0,33
1998,20.97902,1,1,33
1998,24.03846,1,0,33
1998,27.77778,1,1,29
1998,19.23077,0,1,28
1998,18.26923,0,0,34
1998,9.25,0,0,32
1998,5.91716,1,1,33
1998,9.6793,0,1,26
1998,18.26923,1,1,26
1998,37.56709,1,0,26
1998,17.09402,0,1,32
1998,6.25,0,0,27
1998,20.24291,1,1,29
1998,15.86539,1,0,34
1998,16.10577,1,0,33
1998,17.13287,1,0,34
1998,21.15385,1,0,29
1998,15.38461,1,1,28
1998,19.23077,0,0,30
1998,21.15385,0,1,27
1998,15.38461,0,0,29
1998,17.30769,1,1,28
1998,26.92308,1,0,33
1998,2.403846,0,0,30
1998,10.09615,0,0,31
1998,19.23077,1,0,30
1998,21.63461,1,0,28
1998,9.615385,0,1,32
1998,10.09615,0,0,33
1998,14.42308,0,0,28
1998,12.01923,0,1,26
1998,3.139717,0,0,33
1998,4.807693,0,0,25
1998,20.51282,1,0,29
1998,22.59615,1,1,29
1998,12.01923,0,0,26
1998,12.5,0,0,30
1998,13.46154,1,1,27
1998,14.42308,1,0,33
1998,33.65385,1,0,33
1998,16.82692,1,1,33
1998,28.84615,0,0,28
1998,44.23077,1,0,33
1998,10.76923,0,0,30
1998,15,1,0,32
1998,34.18803,1,0,34
1998,14.90385,0,0,32
1998,20.19231,1,1,34
1998,28.84615,0,0,31
1998,43.26923,1,0,28
1998,8.125,0,0,29
1998,9.615385,1,1,33
1998,9.615385,1,1,28
1998,19.23077,1,0,27
1998,14,0,1,25
1998,43.26923,0,0,25
1998,28.84615,1,0,29
1998,22.11539,1,0,27
1998,16.02564,0,0,34
1998,5.189255,0,0,34
1998,9.340659,0,0,31
1998,24.03846,1,1,32
1998,19.23077,0,0,34
1998,3.418803,0,1,33
1998,16.82692,0,0,26
1998,10.57692,0,0,33
1998,14.90385,0,0,31
1998,11.53846,1,1,33
1998,14.42308,0,0,33
1998,11.53846,0,0,34
1998,18.26923,1,1,32
1998,11.26394,0,1,28
1998,10.25641,1,0,29
1998,21.63461,1,1,26
1998,7.692307,0,0,25
1998,4.807693,1,1,25
1998,23.07692,0,0,26
1998,5.494505,0,1,28
1998,14.58333,1,1,33
1998,6.5,0,0,32
1998,6.003846,0,1,31
1998,16.63202,0,1,34
1998,13.11189,1,1,31
1998,9.615385,1,1,28
1998,8.173077,1,0,27
1998,17.78846,1,0,31
1998,30,1,0,32
1998,8.769231,1,1,31
1998,5.5,0,0,33
1998,15.3,0,0,31
1998,25,1,0,29
1998,31.92308,1,1,34
1998,11.25,0,0,34
1998,12.5,0,1,32
1998,21.97802,1,0,32
1998,5.769231,0,1,32
1998,16.34615,1,1,28
1998,19.23077,0,0,30
1998,16.34615,1,1,27
1998,5.625,0,0,29
1998,11.53846,0,1,25
1998,19.23077,0,1,31
1998,20.08547,0,0,32
1998,17.97659,0,0,34
1998,15.38461,0,0,33
1998,13.27839,0,1,32
1998,19.23077,1,0,31
1998,9.615385,1,0,29
1998,5.21978,1,0,32
1998,22.64957,0,0,32
1998,22.64957,0,0,31
1998,22.64957,0,0,26
1998,16.82692,1,1,30
1998,13.46154,0,0,29
1998,20.67308,0,0,32
1998,9.615385,0,1,26
1998,22.45192,0,0,32
1998,15.38461,0,1,32
1998,8.846154,1,1,25
1998,26.49573,1,0,29
1998,24.03846,1,1,29
1998,10.52632,1,1,29
1998,16.34615,0,1,30
1998,16.82692,0,1,26
1998,10.41667,0,0,25
1998,5.25,0,0,27
1998,29.5783,0,0,33
1998,16.34615,0,1,26
1998,10.35503,1,0,27
1998,25.96154,1,1,26
1998,7.5,0,0,27
1998,9.090909,0,0,30
1998,31.25,1,0,25
1998,10.04808,0,1,27
1998,6.25,1,1,32
1998,14.90385,0,0,29
1998,9.615385,1,1,25
1998,12.18935,1,0,30
1998,12.74039,1,1,32
1998,13.46154,0,0,25
1998,4.326923,0,0,30
1998,14.42308,1,0,26
1998,18.46154,1,0,28
1998,14.90385,0,0,33
1998,17.33368,1,0,33
1998,13.41682,1,1,32
1998,14.95726,1,1,25
1998,9.134615,1,1,25
1998,13.46154,1,0,34
1998,12.5,0,0,28
1998,19.23077,1,1,33
1998,12.01923,0,0,26
1998,5.288462,0,1,33
1998,12.5,0,0,26
1998,16.48352,1,1,27
1998,14.42308,1,1,25
1998,13.73626,0,1,31
1998,16.82692,0,0,31
1998,14.42308,0,1,28
1998,19.23077,0,0,34
1998,14.42308,0,0,26
1998,8.5,1,0,31
1998,12.5,0,0,32
1998,18.26923,0,1,29
1998,6.481482,0,1,32
1998,13.41682,0,0,33
1998,5.25,0,0,29
1998,13.94231,1,0,28
1998,37.98077,1,0,27
1998,24.03846,1,1,26
1998,13.98601,1,0,25
1998,22.64957,0,0,30
1998,17.94872,0,1,31
1998,30.76923,0,0,34
1998,12.65182,0,1,28
1998,17.58242,1,0,31
1998,11.09923,1,0,25
1998,12.01923,0,0,34
1998,18.26923,1,0,27
1998,14.7929,0,0,34
1998,21.15385,1,1,27
1998,22.64957,0,0,32
1998,24.03846,1,0,29
1998,20.60439,1,0,27
1998,17.85714,1,1,29
1998,23.63782,0,0,26
1998,13.46154,0,1,26
1998,13.46154,0,1,26
1998,17.78846,1,0,34
1998,19.23077,1,0,34
1998,8.75,0,0,25
1998,14.375,0,0,31
1998,33.17308,1,1,30
1998,8.653846,0,1,30
1998,22.03526,1,1,34
1998,23.07692,0,0,34
1998,16.34615,0,1,33
1998,12.5,1,0,33
1998,15,0,0,30
1998,13.46154,0,1,29
1998,10.09615,1,1,26
1998,35.59738,1,0,26
1998,25.38461,1,0,33
1998,6.1625,1,1,33
1998,20,1,0,34
1998,22.18935,1,1,34
1998,19.23077,0,1,26
1998,20.67308,1,0,30
1998,11.2426,1,0,31
1998,8.653846,1,1,30
1998,15.38461,0,1,31
1998,14.90385,1,0,33
1998,36.05769,1,1,31
1998,16.34615,0,0,32
1998,6.25,0,1,28
1998,28.84615,1,0,33
1998,9.40171,0,1,30
1998,11.53846,0,0,28
